Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
2.2310030,-0.030173,-0.072171,0.963507,0.966677,4.641483,247.311218
2.2398911,-0.030173,-0.068298,0.965443,0.968326,4.422351,246.164581
2.2514360,-0.033129,-0.068298,0.963507,0.966492,4.504674,244.123154
2.2598109,-0.029256,-0.065341,0.963507,0.966163,4.249482,245.880127
2.2698476,-0.029256,-0.067278,0.964526,0.967312,4.349696,246.498260
2.2798803,-0.028236,-0.070234,0.973293,0.976232,4.447261,248.098297
2.2898078,-0.030173,-0.069215,0.963507,0.966461,4.480870,246.445923
2.2998068,-0.028236,-0.069215,0.962589,0.965487,4.440605,247.806854
2.3111634,-0.031193,-0.065341,0.969419,0.972119,4.271410,244.481171
2.3197849,-0.030173,-0.067278,0.964526,0.967340,4.371570,245.844482
2.3298440,-0.030173,-0.067278,0.963507,0.966324,4.376138,245.844482
2.3405058,-0.025382,-0.068298,0.965443,0.968189,4.315884,249.612839
2.3498025,-0.027319,-0.065341,0.966463,0.969054,4.191150,247.310349
2.3598404,-0.023344,-0.061468,0.969419,0.971646,3.880149,249.204834
2.3698170,-0.026300,-0.067278,0.965443,0.968142,4.279014,248.649017
2.3799393,-0.028236,-0.065341,0.968400,0.971012,4.203980,246.629028
2.3883348,-0.032212,-0.071254,0.968400,0.971552,4.616516,245.673492
2.3983347,-0.032212,-0.071254,0.968400,0.971552,4.616516,245.673492
2.3999410,-0.032212,-0.071254,0.968400,0.971552,4.616516,245.673492
2.4105566,-0.029256,-0.068298,0.965443,0.968298,4.400774,246.811737
2.4198320,-0.029256,-0.067278,0.964526,0.967312,4.349696,246.498260
2.4350245,-0.031193,-0.068298,0.964526,0.967444,4.451179,245.453049
2.4397829,-0.031193,-0.068298,0.964526,0.967444,4.451179,245.453049
2.4511328,-0.030173,-0.070234,0.972273,0.975273,4.495403,246.751251
2.4598360,-0.028236,-0.064424,0.967380,0.969934,4.158782,246.332581
2.4698188,-0.028236,-0.071254,0.964526,0.967566,4.543381,248.382553
2.4798853,-0.030173,-0.070234,0.963507,0.966534,4.536176,246.751251
2.4918945,-0.029256,-0.066361,0.964526,0.967249,4.300063,246.209229
2.5055544,-0.031193,-0.073191,0.965443,0.968716,4.710979,246.917084
2.5111456,-0.031193,-0.073191,0.965443,0.968716,4.710979,246.917084
2.5198102,-0.034149,-0.068298,0.966463,0.969475,4.517483,243.434952
2.5347190,-0.030173,-0.067278,0.966463,0.969271,4.362824,245.844482
2.5398257,-0.030173,-0.067278,0.966463,0.969271,4.362824,245.844482
2.5498273,-0.032212,-0.068298,0.965443,0.968392,4.472338,244.749481
2.5598102,-0.030173,-0.070234,0.961570,0.964603,4.545278,246.751251
